i=1 | j=[1 2 3] 
i=2 | j=[1 2 3] 
i=3 | j=[1 2 3] 
i=4 | j=[1 2 3] 
i=5 | j=[1 2 3] 
i=6 | j=[1 2 3] 
i=7 | j=[1 2 3] 
i=8 | j=[1 2 3] 
i=9 | j=[1 2 3] 
i=10 | j=[1 2 3] 
i=11 | j=[1 2 3] 
i=12 | j=[1 2 3] 
i=13 | j=[1 2 3] 
i=14 | j=[1 2 3] 
i=15 | j=[1 2 3] 
i=16 | j=[1 2 3] 
i=17 | j=[1 2 3] 
i=18 | j=[1 2 3] 
i=19 | j=[1 2 3] 
i=20 | j=[1 2 3] 
i=21 | j=[1 2 3] 
i=22 | j=[1 2 3] 
i=23 | j=[1 2 3] 
i=24 | j=[1 2 3] 
i=25 | j=[1 2 3] 
i=26 | j=[1 2 3] 
i=27 | j=[1 2 3] 
i=28 | j=[1 2 3] 
i=29 | j=[1 2 3] 
i=30 | j=[1 2 3] 
i=31 | j=[1 2 3] 
i=32 | j=[1 2 3] 
i=33 | j=[1 2 3] 
i=34 | j=[1 2 3] 
i=35 | j=[1 2 3] 
i=36 | j=[1 2 3] 
i=37 | j=[1 2 3] 
i=38 | j=[1 2 3] 
i=39 | j=[1 2 3] 
i=40 | j=[1 2 3] 
i=41 | j=[1 2 3] 
i=42 | j=[1 2 3] 
i=43 | j=[1 2 3] 
i=44 | j=[1 2 3] 
i=45 | j=[1 2 3] 
i=46 | j=[1 2 3] 
i=47 | j=[1 2 3] 
i=48 | j=[1 2 3] 
i=49 | j=[1 2 3] 
i=50 | j=[1 2 3] 
i=51 | j=[1 2 3] 
i=52 | j=[1 2 3] 
i=53 | j=[1 2 3] 
i=54 | j=[1 2 3] 
i=55 | j=[1 2 3] 
i=56 | j=[1 2 3] 
i=57 | j=[1 2 3] 
i=58 | j=[1 2 3] 
i=59 | j=[1 2 3] 
i=60 | j=[1 2 3] 
i=61 | j=[1 2 3] 
i=62 | j=[1 2 3] 
i=63 | j=[1 2 3] 
i=64 | j=[1 2 3] 
i=65 | j=[1 2 3] 
i=66 | j=[1 2 3] 
i=67 | j=[1 2 3] 
i=68 | j=[1 2 3] 
i=69 | j=[1 2 3] 
i=70 | j=[1 2 3] 
i=71 | j=[1 2 3] 
i=72 | j=[1 2 3] 
i=73 | j=[1 2 3] 
i=74 | j=[1 2 3] 
i=75 | j=[1 2 3] 
i=76 | j=[1 2 3] 
i=77 | j=[1 2 3] 
i=78 | j=[1 2 3] 
i=79 | j=[1 2 3] 
i=80 | j=[1 2 3] 
i=81 | j=[1 2 3] 
i=82 | j=[1 2 3] 
i=83 | j=[1 2 3] 
i=84 | j=[1 2 3] 
i=85 | j=[1 2 3] 
i=86 | j=[1 2 3] 
i=87 | j=[1 2 3] 
i=88 | j=[1 2 3] 
i=89 | j=[1 2 3] 
i=90 | j=[1 2 3] 
i=91 | j=[1 2 3] 
i=92 | j=[1 2 3] 
i=93 | j=[1 2 3] 
i=94 | j=[1 2 3] 
i=95 | j=[1 2 3] 
i=96 | j=[1 2 3] 
i=97 | j=[1 2 3] 
i=98 | j=[1 2 3] 
i=99 | j=[1 2 3] 
i=100 | j=[1 2 3] 
